Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='DEnet', seed=1)
Mean_return:0.15 Frame:0.03 M  Time_used 0H-0M Time_togo 63H-54M
Mean_return:0.12 Frame:0.06 M  Time_used 0H-1M Time_togo 92H-53M
Mean_return:0.14 Frame:0.10 M  Time_used 0H-2M Time_togo 96H-40M
Mean_return:0.1 Frame:0.13 M  Time_used 0H-3M Time_togo 98H-24M
Mean_return:0.06 Frame:0.16 M  Time_used 0H-4M Time_togo 100H-25M
Mean_return:0.1 Frame:0.19 M  Time_used 0H-5M Time_togo 102H-6M
Mean_return:0.19 Frame:0.23 M  Time_used 0H-6M Time_togo 101H-8M
Mean_return:0.09 Frame:0.26 M  Time_used 0H-7M Time_togo 101H-43M
Mean_return:0.05 Frame:0.29 M  Time_used 0H-8M Time_togo 101H-56M
Mean_return:0.01 Frame:0.32 M  Time_used 0H-9M Time_togo 104H-8M
Mean_return:0.07 Frame:0.35 M  Time_used 0H-11M Time_togo 104H-33M
Mean_return:0.05 Frame:0.38 M  Time_used 0H-12M Time_togo 107H-13M
Mean_return:0.08 Frame:0.41 M  Time_used 0H-13M Time_togo 108H-28M
Mean_return:0.11 Frame:0.44 M  Time_used 0H-14M Time_togo 109H-37M
Mean_return:0.11 Frame:0.47 M  Time_used 0H-15M Time_togo 111H-38M
Mean_return:0.12 Frame:0.50 M  Time_used 0H-17M Time_togo 112H-33M
Mean_return:0.13 Frame:0.54 M  Time_used 0H-18M Time_togo 113H-39M
Mean_return:0.18 Frame:0.57 M  Time_used 0H-19M Time_togo 114H-58M
Mean_return:0.04 Frame:0.60 M  Time_used 0H-20M Time_togo 114H-41M
Mean_return:0.11 Frame:0.63 M  Time_used 0H-21M Time_togo 114H-8M
Mean_return:0.08 Frame:0.66 M  Time_used 0H-22M Time_togo 113H-45M
Mean_return:0.08 Frame:0.69 M  Time_used 0H-23M Time_togo 114H-6M
Mean_return:0.15 Frame:0.73 M  Time_used 0H-24M Time_togo 113H-31M
Mean_return:0.04 Frame:0.76 M  Time_used 0H-25M Time_togo 113H-26M
Mean_return:0.16 Frame:0.79 M  Time_used 0H-26M Time_togo 113H-41M
Mean_return:0.1 Frame:0.82 M  Time_used 0H-28M Time_togo 113H-43M
Mean_return:0.27 Frame:0.85 M  Time_used 0H-29M Time_togo 115H-54M
Mean_return:0.14 Frame:0.89 M  Time_used 0H-31M Time_togo 118H-27M
Mean_return:0.17 Frame:0.92 M  Time_used 0H-33M Time_togo 120H-12M
Mean_return:0.1 Frame:0.95 M  Time_used 0H-35M Time_togo 121H-58M
Mean_return:0.14 Frame:0.99 M  Time_used 0H-36M Time_togo 123H-20M
------------------------------------------------------------
Num steps: 250000  return: 50.9 
------------------------------------------------------------
Mean_return:0.13 Frame:1.02 M  Time_used 0H-49M Time_togo 159H-54M
Mean_return:0.16 Frame:1.05 M  Time_used 0H-51M Time_togo 160H-47M
Mean_return:0.14 Frame:1.09 M  Time_used 0H-53M Time_togo 161H-5M
Mean_return:0.12 Frame:1.13 M  Time_used 0H-54M Time_togo 160H-59M
Mean_return:0.09 Frame:1.17 M  Time_used 0H-56M Time_togo 159H-58M
Mean_return:0.08 Frame:1.22 M  Time_used 0H-58M Time_togo 158H-37M
Mean_return:0.1 Frame:1.26 M  Time_used 0H-59M Time_togo 157H-17M
Mean_return:0.07 Frame:1.30 M  Time_used 1H-1M Time_togo 156H-55M
Mean_return:0.09 Frame:1.33 M  Time_used 1H-3M Time_togo 156H-30M
Mean_return:0.02 Frame:1.37 M  Time_used 1H-4M Time_togo 156H-59M
Mean_return:0.12 Frame:1.41 M  Time_used 1H-6M Time_togo 157H-25M
Mean_return:0.12 Frame:1.45 M  Time_used 1H-9M Time_togo 158H-51M
Mean_return:0.09 Frame:1.49 M  Time_used 1H-11M Time_togo 159H-2M
Mean_return:0.19 Frame:1.54 M  Time_used 1H-13M Time_togo 158H-55M
