Namespace(config='config/qrdqn.yaml', cuda=True, env_id='JamesbondNoFrameskip-v4', model='ncQRDQN', seed=0)
Mean_return:0.07 Frame:0.03 M  Time_used 0H-0M Time_togo 50H-44M
Mean_return:0.12 Frame:0.06 M  Time_used 0H-1M Time_togo 78H-3M
Mean_return:0.1 Frame:0.10 M  Time_used 0H-2M Time_togo 80H-37M
Mean_return:0.1 Frame:0.13 M  Time_used 0H-3M Time_togo 81H-37M
Mean_return:0.14 Frame:0.16 M  Time_used 0H-4M Time_togo 83H-51M
Mean_return:0.1 Frame:0.19 M  Time_used 0H-4M Time_togo 85H-18M
Mean_return:0.14 Frame:0.22 M  Time_used 0H-5M Time_togo 87H-2M
Mean_return:0.1 Frame:0.26 M  Time_used 0H-6M Time_togo 86H-42M
Mean_return:0.1 Frame:0.29 M  Time_used 0H-7M Time_togo 87H-15M
Mean_return:0.13 Frame:0.32 M  Time_used 0H-8M Time_togo 87H-43M
Mean_return:0.08 Frame:0.35 M  Time_used 0H-9M Time_togo 88H-46M
Mean_return:0.06 Frame:0.38 M  Time_used 0H-10M Time_togo 90H-30M
Mean_return:0.05 Frame:0.42 M  Time_used 0H-11M Time_togo 91H-59M
Mean_return:0.08 Frame:0.45 M  Time_used 0H-12M Time_togo 93H-29M
Mean_return:0.17 Frame:0.48 M  Time_used 0H-13M Time_togo 94H-17M
Mean_return:0.1 Frame:0.51 M  Time_used 0H-14M Time_togo 96H-14M
Mean_return:0.1 Frame:0.55 M  Time_used 0H-15M Time_togo 97H-8M
Mean_return:0.16 Frame:0.58 M  Time_used 0H-17M Time_togo 98H-7M
Mean_return:0.12 Frame:0.61 M  Time_used 0H-18M Time_togo 99H-21M
Mean_return:0.14 Frame:0.65 M  Time_used 0H-19M Time_togo 100H-16M
Mean_return:0.14 Frame:0.68 M  Time_used 0H-20M Time_togo 101H-4M
Mean_return:0.13 Frame:0.72 M  Time_used 0H-21M Time_togo 101H-21M
Mean_return:0.18 Frame:0.75 M  Time_used 0H-23M Time_togo 102H-32M
Mean_return:0.15 Frame:0.78 M  Time_used 0H-24M Time_togo 103H-35M
Mean_return:0.1 Frame:0.82 M  Time_used 0H-25M Time_togo 104H-2M
Mean_return:0.1 Frame:0.85 M  Time_used 0H-26M Time_togo 104H-32M
Mean_return:0.18 Frame:0.89 M  Time_used 0H-28M Time_togo 105H-49M
Mean_return:0.16 Frame:0.93 M  Time_used 0H-30M Time_togo 107H-29M
Mean_return:0.21 Frame:0.97 M  Time_used 0H-31M Time_togo 109H-10M
------------------------------------------------------------
Num steps: 250000  return: 59.9 
------------------------------------------------------------
Mean_return:0.17 Frame:1.01 M  Time_used 0H-41M Time_togo 136H-4M
Mean_return:0.21 Frame:1.04 M  Time_used 0H-42M Time_togo 136H-0M
Mean_return:0.15 Frame:1.08 M  Time_used 0H-44M Time_togo 136H-42M
Mean_return:0.21 Frame:1.12 M  Time_used 0H-46M Time_togo 137H-47M
Mean_return:0.15 Frame:1.16 M  Time_used 0H-48M Time_togo 138H-11M
Mean_return:0.13 Frame:1.19 M  Time_used 0H-50M Time_togo 139H-4M
Mean_return:0.24 Frame:1.22 M  Time_used 0H-51M Time_togo 138H-44M
Mean_return:0.16 Frame:1.26 M  Time_used 0H-52M Time_togo 138H-25M
Mean_return:0.2 Frame:1.30 M  Time_used 0H-54M Time_togo 138H-15M
Mean_return:0.31 Frame:1.34 M  Time_used 0H-55M Time_togo 138H-16M
Mean_return:0.18 Frame:1.37 M  Time_used 0H-57M Time_togo 138H-8M
Mean_return:0.15 Frame:1.41 M  Time_used 0H-58M Time_togo 137H-39M
Mean_return:0.18 Frame:1.44 M  Time_used 0H-59M Time_togo 137H-16M
Mean_return:0.17 Frame:1.48 M  Time_used 1H-1M Time_togo 137H-31M
Mean_return:0.15 Frame:1.51 M  Time_used 1H-2M Time_togo 137H-27M
Mean_return:0.15 Frame:1.55 M  Time_used 1H-4M Time_togo 137H-38M
Mean_return:0.15 Frame:1.59 M  Time_used 1H-6M Time_togo 137H-40M
Mean_return:0.21 Frame:1.63 M  Time_used 1H-8M Time_togo 138H-13M
Mean_return:0.15 Frame:1.67 M  Time_used 1H-10M Time_togo 138H-39M
Mean_return:0.19 Frame:1.71 M  Time_used 1H-11M Time_togo 138H-36M
Mean_return:0.24 Frame:1.75 M  Time_used 1H-13M Time_togo 138H-23M
Mean_return:0.15 Frame:1.79 M  Time_used 1H-15M Time_togo 138H-22M
Mean_return:0.11 Frame:1.83 M  Time_used 1H-16M Time_togo 138H-22M
Mean_return:0.2 Frame:1.87 M  Time_used 1H-18M Time_togo 138H-9M
Mean_return:0.13 Frame:1.91 M  Time_used 1H-19M Time_togo 138H-5M
Mean_return:0.24 Frame:1.95 M  Time_used 1H-21M Time_togo 137H-47M
Mean_return:0.2 Frame:2.00 M  Time_used 1H-23M Time_togo 137H-38M
------------------------------------------------------------
Num steps: 500000  return: 15.9 
------------------------------------------------------------
Mean_return:0.23 Frame:2.04 M  Time_used 1H-32M Time_togo 149H-38M
Mean_return:0.21 Frame:2.08 M  Time_used 1H-34M Time_togo 149H-27M
Mean_return:0.21 Frame:2.12 M  Time_used 1H-35M Time_togo 149H-12M
Mean_return:0.11 Frame:2.16 M  Time_used 1H-37M Time_togo 149H-1M
Mean_return:0.25 Frame:2.20 M  Time_used 1H-39M Time_togo 148H-42M
Mean_return:0.32 Frame:2.25 M  Time_used 1H-41M Time_togo 148H-41M
Mean_return:0.27 Frame:2.30 M  Time_used 1H-43M Time_togo 148H-27M
Mean_return:0.24 Frame:2.34 M  Time_used 1H-45M Time_togo 148H-36M
Mean_return:0.2 Frame:2.39 M  Time_used 1H-47M Time_togo 148H-13M
Mean_return:0.2 Frame:2.44 M  Time_used 1H-49M Time_togo 148H-18M
Mean_return:0.26 Frame:2.48 M  Time_used 1H-51M Time_togo 147H-18M
Mean_return:0.22 Frame:2.53 M  Time_used 1H-52M Time_togo 146H-19M
Mean_return:0.23 Frame:2.57 M  Time_used 1H-54M Time_togo 146H-1M
Mean_return:0.25 Frame:2.62 M  Time_used 1H-56M Time_togo 145H-51M
Mean_return:0.2 Frame:2.66 M  Time_used 1H-57M Time_togo 145H-26M
Mean_return:0.27 Frame:2.71 M  Time_used 1H-59M Time_togo 145H-14M
Mean_return:0.26 Frame:2.76 M  Time_used 2H-1M Time_togo 145H-4M
Mean_return:0.27 Frame:2.81 M  Time_used 2H-3M Time_togo 144H-55M
Mean_return:0.45 Frame:2.87 M  Time_used 2H-5M Time_togo 144H-24M
Mean_return:0.22 Frame:2.91 M  Time_used 2H-7M Time_togo 144H-7M
Mean_return:0.44 Frame:2.96 M  Time_used 2H-9M Time_togo 144H-1M
------------------------------------------------------------
Num steps: 750000  return: 132.3
------------------------------------------------------------
Mean_return:0.31 Frame:3.01 M  Time_used 2H-19M Time_togo 152H-3M
Mean_return:0.39 Frame:3.07 M  Time_used 2H-21M Time_togo 151H-36M
Mean_return:0.38 Frame:3.12 M  Time_used 2H-23M Time_togo 151H-14M
Mean_return:0.36 Frame:3.17 M  Time_used 2H-26M Time_togo 151H-4M
Mean_return:0.37 Frame:3.23 M  Time_used 2H-28M Time_togo 150H-47M
Mean_return:0.54 Frame:3.30 M  Time_used 2H-31M Time_togo 150H-26M
Mean_return:0.56 Frame:3.37 M  Time_used 2H-34M Time_togo 150H-1M
Mean_return:0.6 Frame:3.44 M  Time_used 2H-37M Time_togo 149H-41M
Mean_return:0.52 Frame:3.51 M  Time_used 2H-39M Time_togo 149H-6M
Mean_return:0.48 Frame:3.58 M  Time_used 2H-41M Time_togo 148H-14M
Mean_return:0.49 Frame:3.66 M  Time_used 2H-45M Time_togo 147H-53M
Mean_return:0.66 Frame:3.74 M  Time_used 2H-48M Time_togo 147H-13M
Mean_return:0.63 Frame:3.81 M  Time_used 2H-50M Time_togo 146H-35M
Mean_return:0.74 Frame:3.90 M  Time_used 2H-54M Time_togo 146H-9M
Mean_return:0.66 Frame:3.98 M  Time_used 2H-56M Time_togo 145H-4M
------------------------------------------------------------
Num steps: 1000000  return: 249.4
------------------------------------------------------------
Mean_return:0.64 Frame:4.06 M  Time_used 3H-8M Time_togo 151H-6M
Mean_return:0.71 Frame:4.15 M  Time_used 3H-13M Time_togo 151H-57M
Mean_return:0.72 Frame:4.23 M  Time_used 3H-17M Time_togo 152H-41M
Mean_return:0.74 Frame:4.31 M  Time_used 3H-22M Time_togo 153H-8M
Mean_return:0.83 Frame:4.40 M  Time_used 3H-27M Time_togo 153H-38M
Mean_return:0.78 Frame:4.50 M  Time_used 3H-32M Time_togo 154H-8M
Mean_return:0.77 Frame:4.59 M  Time_used 3H-37M Time_togo 154H-37M
Mean_return:0.85 Frame:4.68 M  Time_used 3H-42M Time_togo 155H-8M
Mean_return:0.87 Frame:4.78 M  Time_used 3H-48M Time_togo 155H-32M
